
2024/ 5/21, 13:48:35 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	

2024/ 5/21, 14:49:13 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	
27	0	21.000000	18.375000	11000100101111110001
28	0	21.000000	7.875000	11000100101111110001
29	0	21.000000	13.125000	11000100101111110001
30	0	21.000000	18.375000	11000100101111110001
31	0	21.000000	15.750000	11000100101111110001
32	0	21.000000	18.375000	11000100101111110001
33	0	21.000000	15.750000	11000100101111110001
34	0	21.000000	15.750000	11000100101111110001
35	0	21.000000	21.000000	11000100101111110001
36	0	21.000000	15.750000	11000100101111110001
37	0	21.000000	18.375000	11000100101111110001
38	0	21.000000	13.125000	11000100101111110001
39	0	21.000000	10.500000	11000100101111110001
40	0	21.000000	18.375000	11000100101111110001
41	0	21.000000	18.375000	11000100101111110001
42	0	21.000000	13.125000	11000100101111110001
43	0	21.000000	18.375000	11000100101111110001
44	0	21.000000	13.125000	11000100101111110001
45	0	21.000000	18.375000	11000100101111110001
46	0	21.000000	15.750000	11000100101111110001
47	0	21.000000	13.125000	11000100101111110001
48	0	21.000000	13.125000	11000100101111110001
49	0	21.000000	18.375000	11000100101111110001
50	0	21.000000	7.875000	11000100101111110001
51	0	21.000000	13.125000	11000100101111110001
52	0	21.000000	18.375000	11000100101111110001
53	0	21.000000	13.125000	11000100101111110001
54	0	21.000000	18.375000	11000100101111110001
55	0	21.000000	15.750000	11000100101111110001
56	0	21.000000	13.125000	11000100101111110001
57	0	21.000000	10.500000	11000100101111110001
58	0	21.000000	15.750000	11000100101111110001
59	0	21.000000	15.750000	11000100101111110001
60	0	21.000000	13.125000	11000100101111110001
61	0	21.000000	21.000000	11000100101111110001
62	0	21.000000	21.000000	11000100101111110001
63	0	21.000000	13.125000	11000100101111110001
64	0	21.000000	15.750000	11000100101111110001
65	0	21.000000	13.125000	11000100101111110001
66	0	21.000000	13.125000	11000100101111110001
67	0	21.000000	18.375000	11000100101111110001
68	0	21.000000	15.750000	11000100101111110001
69	0	21.000000	18.375000	11000100101111110001
70	0	21.000000	10.500000	11000100101111110001
71	0	21.000000	18.375000	11000100101111110001
72	0	21.000000	15.750000	11000100101111110001
73	0	21.000000	21.000000	11000100101111110001
74	0	21.000000	15.750000	11000100101111110001
75	0	21.000000	18.375000	11000100101111110001
76	0	21.000000	13.125000	11000100101111110001
77	0	21.000000	21.000000	11000100101111110001
78	0	21.000000	15.750000	11000100101111110001
79	0	21.000000	18.375000	11000100101111110001
80	0	21.000000	13.125000	11000100101111110001
81	0	21.000000	7.875000	11000100101111110001
82	0	21.000000	18.375000	11000100101111110001
83	0	21.000000	10.500000	11000100101111110001
84	0	21.000000	10.500000	11000100101111110001
85	0	21.000000	15.750000	11000100101111110001
86	0	21.000000	10.500000	11000100101111110001
87	0	21.000000	15.750000	11000100101111110001
88	0	21.000000	13.125000	11000100101111110001
89	0	21.000000	10.500000	11000100101111110001
90	0	21.000000	15.750000	11000100101111110001
91	0	21.000000	18.375000	11000100101111110001
92	0	21.000000	18.375000	11000100101111110001
93	0	21.000000	21.000000	11000100101111110001
94	0	21.000000	15.750000	11000100101111110001
95	0	21.000000	15.750000	11000100101111110001
96	0	21.000000	13.125000	11000100101111110001
97	0	21.000000	21.000000	11000100101111110001
98	0	21.000000	10.500000	11000100101111110001
99	0	21.000000	18.375000	11000100101111110001

2024/ 5/22, 19:14:59 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	

2024/ 5/22, 19:20: 8 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	

2024/ 5/22, 19:20:35 
